Name,dfs_id,dk_salary,proj,p95,own,mc_prob,value,wave,CEIL,VAL,LEV,SAFE,DFS_SCORE_SE,kill_SE,kill_reason_SE,DFS_SCORE_3MAX,kill_3MAX,kill_reason_3MAX,DFS_SCORE_20MAX,kill_20MAX,kill_reason_20MAX,DFS_SCORE_150MAX,kill_150MAX,kill_reason_150MAX
Matthieu Pavon,42464122,6500,46.9,85.0,1.23,0.541846,7.2153846153846155,PM,78.6127167630058,96.51906395934307,0.0,58.04676289702109,65.6119509391822,True,mc_risk,64.28186712959125,True,mc_risk,61.79761428813066,True,mc_risk,60.48421162492334,True,mc_risk
Garrick Higgo,42464119,6500,46.8,85.0,1.4,0.534769,7.199999999999999,AM,78.6127167630058,96.31326638160459,5.094786729857821,56.72760004816616,66.16278271905242,True,mc_risk,65.05150065379996,True,mc_risk,62.752648598544354,True,mc_risk,61.584832506954605,True,mc_risk
Tom Hoge,42464121,6500,46.51,83.5,1.44,0.539231,7.155384615384615,PM,77.22543352601159,95.71645340616304,47.7488151658768,57.55932318390031,72.90394130640428,True,mc_risk,73.00294827270581,True,mc_risk,71.95724133233945,True,mc_risk,71.58787187779707,True,mc_risk
Kris Ventura,42464112,6600,46.23,83.52,1.69,0.531692,7.004545454545455,AM,77.24393063583818,93.69870170079085,69.07582938388627,56.15404287903707,75.7510686378843,True,mc_risk,76.5605199881658,True,mc_risk,76.24363157379469,True,mc_risk,76.38387076016062,True,mc_risk
Jesper Svensson,42464100,6800,46.08,84.0,1.78,0.528462,6.776470588235294,PM,77.68786127167633,90.64778012386316,78.55450236966828,55.55196629265845,76.64799097557808,True,mc_risk,77.78078495746874,True,mc_risk,77.86070452442326,True,mc_risk,78.28291581870991,True,mc_risk
Carson Young,42487478,6600,45.84,82.5,1.67,0.528923,6.945454545454546,PM,76.3005780346821,92.90825191356808,88.03317535545028,55.63789734724687,78.31450191144714,True,mc_risk,79.69961386544195,True,mc_risk,79.96661518244711,True,mc_risk,80.48899407190783,True,mc_risk
Webb Simpson,42464117,6500,45.51,82.5,1.26,0.522923,7.001538461538461,AM,76.3005780346821,93.65847762877831,31.161137440758303,54.51948882765812,68.61013019083431,True,mc_risk,68.34500143336781,True,mc_risk,66.90570301186767,True,mc_risk,66.30918888431799,True,mc_risk
Daniel Brown,42464105,6700,45.31,83.0,1.41,0.515231,6.762686567164179,AM,76.76300578034684,90.46339344424761,43.00947867298579,53.085689105545356,69.71453975311036,True,mc_risk,69.8857997736296,True,mc_risk,68.93572866398777,True,mc_risk,68.69696986880659,True,mc_risk
Chan Kim,42487479,6500,44.99,83.0,1.29,0.510154,6.921538461538462,PM,76.76300578034684,92.58833022453827,21.682464454976312,52.139329096553354,66.43090952932302,True,mc_risk,66.00967712375156,True,mc_risk,64.37497468434059,True,mc_risk,63.69556766946314,True,mc_risk
Sam Ryder,42474777,6500,44.86,82.5,1.21,0.509231,6.901538461538461,AM,76.3005780346821,92.32079337347827,19.31279620853081,51.96728058595661,65.75104946919033,True,mc_risk,65.25808088684207,True,mc_risk,63.55450692086814,True,mc_risk,62.824345901030966,True,mc_risk
A.J. Ewart,42464107,6700,44.71,81.5,1.41,0.510462,6.673134328358209,PM,75.37572254335262,89.26546724547143,85.66350710900478,52.196740733892234,75.96128573315112,True,mc_risk,77.4288683605937,True,mc_risk,77.7843891926889,True,mc_risk,78.4077194442434,True,mc_risk
Lucas Glover,42464118,6500,44.58,82.5,1.35,0.504,6.858461538461539,AM,76.3005780346821,91.74456015581055,40.6398104265403,50.99221475829518,69.03757041630273,True,mc_risk,69.23316555187782,True,mc_risk,68.20619032552743,True,mc_risk,67.94334622923365,True,mc_risk
Adrien Saddier,42464114,6600,44.57,82.0,1.69,0.504308,6.753030303030304,PM,75.83815028901736,90.33422311927856,100.0,51.04962639563405,78.61197816877305,True,mc_risk,80.57625985477169,True,mc_risk,81.36200363906099,True,mc_risk,82.29897489347694,True,mc_risk
Chandler Blanchet,42464111,6600,44.51,82.0,1.63,0.501385,6.743939393939394,AM,75.83815028901736,90.21261545970583,99.88151658767777,50.5047750451744,78.45246380369315,True,mc_risk,80.44043355484511,True,mc_risk,81.23716809356112,True,mc_risk,82.19054737343586,True,mc_risk
Dylan Wu,42464126,6400,44.33,82.0,1.54,0.499385,6.926562499999999,AM,75.83815028901736,92.65553599601847,92.77251184834127,50.131972205311506,77.78010256411153,True,mc_risk,79.57344231507655,True,mc_risk,80.09107515232036,True,mc_risk,80.86460001187798,True,mc_risk
